                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.124,                 2.9745,                0.91645,                0.77542,                0.53782,                0.58596,                0.23674,                 2.2964,                 1.5834,                0.94669,              0.0033316,              0.0033316,              0.0033316
                      2,                 2.1435,                 1.3119,                0.91512,                0.76491,                0.55517,                0.59725,                0.24492,                 2.2994,                 1.6692,                0.95826,               0.006632,               0.006632,               0.006632
                      3,                 2.1789,                  1.396,                0.92127,                0.76186,                0.54061,                0.57549,                0.23486,                 2.3845,                 1.6477,                0.96943,              0.0098993,              0.0098993,              0.0098993
                      4,                 2.1789,                 1.4155,                0.92147,                 0.7664,                0.55616,                0.58794,                 0.2368,                 2.3356,                  1.674,                0.95645,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0925,                 1.3081,                0.90926,                0.79241,                0.56628,                0.61414,                 0.2576,                 2.3157,                 1.4965,                0.94851,               0.009802,               0.009802,               0.009802
                      6,                  2.014,                  1.219,                0.89815,                0.76502,                0.55775,                 0.6084,                0.27453,                 2.2493,                 1.4775,                 0.9376,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9768,                 1.1792,                0.89347,                0.75447,                0.60076,                0.63574,                0.27222,                 2.2406,                 1.3868,                0.93603,               0.009703,               0.009703,               0.009703
                      8,                 1.9304,                 1.1291,                 0.8862,                0.75122,                0.59022,                0.62882,                0.27017,                 2.2499,                 1.4235,                0.93567,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8968,                 1.0956,                0.88239,                0.76741,                0.61005,                0.62705,                 0.2674,                 2.2378,                 1.3929,                0.93255,               0.009604,               0.009604,               0.009604
                     10,                 1.8518,                 1.0532,                0.87761,                0.77551,                0.59985,                0.63237,                 0.2694,                 2.2357,                  1.375,                0.92897,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8203,                 1.0404,                0.87334,                0.77233,                0.61812,                0.64238,                0.26606,                 2.2838,                 1.3447,                0.93488,               0.009505,               0.009505,               0.009505
                     12,                 1.8225,                 1.0266,                0.87211,                0.78922,                0.60355,                0.65378,                0.29123,                 2.2072,                 1.3344,                0.92665,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7869,                0.99732,                0.87042,                0.77694,                0.61417,                0.65773,                0.29115,                 2.1904,                 1.3615,                0.92442,               0.009406,               0.009406,               0.009406
                     14,                 1.7524,                0.96496,                0.86399,                0.76363,                0.61145,                0.64121,                 0.2644,                 2.2334,                 1.3539,                 0.9273,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7454,                0.95566,                0.86365,                 0.7689,                0.62338,                0.66136,                0.28742,                 2.1907,                 1.3021,                0.92323,               0.009307,               0.009307,               0.009307
                     16,                 1.7308,                0.94805,                0.86254,                 0.7699,                0.63096,                0.66626,                0.28262,                 2.2083,                 1.3627,                0.92489,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7192,                0.93201,                0.86028,                0.76069,                0.61491,                0.65625,                0.28661,                 2.2177,                 1.3301,                0.92972,               0.009208,               0.009208,               0.009208
                     18,                 1.7067,                0.92821,                0.85891,                0.76947,                0.63113,                0.65847,                 0.2776,                 2.2306,                 1.2896,                0.92862,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6772,                0.91001,                0.85648,                0.77105,                 0.6233,                0.66048,                 0.2817,                 2.2276,                 1.3332,                0.92925,               0.009109,               0.009109,               0.009109
                     20,                 1.6735,                0.90142,                0.85612,                0.77655,                0.63071,                0.66593,                0.28134,                 2.2076,                 1.2957,                0.92582,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6374,                0.88088,                0.85181,                0.77804,                0.63071,                0.66369,                 0.2816,                 2.2197,                 1.3224,                0.92611,                0.00901,                0.00901,                0.00901
                     22,                 1.6209,                0.87421,                0.84952,                 0.7788,                0.63186,                0.66267,                0.27991,                 2.2136,                 1.3064,                0.92589,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6399,                0.87665,                0.85164,                0.76993,                0.63293,                0.67188,                0.29281,                 2.1998,                 1.2965,                0.92256,               0.008911,               0.008911,               0.008911
                     24,                  1.639,                0.87383,                0.85043,                0.77855,                0.63094,                0.67018,                 0.2916,                 2.1769,                 1.3281,                0.92324,              0.0088615,              0.0088615,              0.0088615
