                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2591,                0.59468,                 1.0024,                 0.9683,                0.95886,                0.98394,                0.65501,                 1.1779,                 0.5015,                 1.0124,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.2086,                 0.5507,                0.98753,                0.97027,                0.95368,                0.98425,                0.65497,                 1.1964,                 0.4936,                 1.0246,              0.0066331,              0.0066331,              0.0066331
                      3,                 1.2119,                0.55239,                0.98908,                0.96678,                0.95365,                0.98367,                0.65975,                  1.174,                 0.4973,                 1.0137,              0.0099004,              0.0099004,              0.0099004
                      4,                 1.1867,                0.53566,                0.98378,                0.97374,                0.96385,                0.98631,                0.66762,                 1.1742,                0.47239,                 1.0131,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1484,                0.51265,                0.97325,                 0.9736,                0.96048,                0.98608,                0.66901,                 1.1702,                0.46931,                 1.0087,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1205,                0.49713,                 0.9649,                0.97527,                0.96113,                0.98735,                0.67449,                 1.1632,                0.45499,                 1.0069,               0.009802,               0.009802,               0.009802
                      7,                 1.0976,                 0.4817,                0.95723,                0.97625,                0.96168,                0.98687,                0.67567,                 1.1665,                 0.4454,                 1.0083,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.0804,                0.47274,                0.95278,                0.97611,                0.96321,                0.98656,                0.67692,                 1.1691,                0.44061,                 1.0074,               0.009703,               0.009703,               0.009703
                      9,                  1.064,                0.46323,                0.94814,                0.97762,                0.96113,                0.98751,                0.67671,                 1.1692,                0.44168,                 1.0087,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.0494,                0.45556,                0.94267,                0.97902,                0.96265,                0.98817,                0.67865,                 1.1692,                0.43329,                 1.0095,               0.009604,               0.009604,               0.009604
                     11,                 1.0353,                0.44885,                0.94058,                0.97894,                0.96189,                0.98809,                0.67999,                 1.1641,                0.43232,                 1.0074,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.0247,                0.44291,                0.93642,                0.97557,                0.96302,                0.98714,                0.67636,                 1.1762,                0.43241,                 1.0126,               0.009505,               0.009505,               0.009505
